CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41542651,EL GIRASOL BAKERY,Brooklyn,3362,FULTON STREET,11208,7186472098,Bakery Products/Desserts,9/8/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,,,9/11/21,Cycle Inspection / Initial Inspection,40.683803,-73.87160166,305,37,118400,3092804,3041470036,BK83
50065499,COTE KOREAN STEAKHOUSE,Manhattan,16,WEST   22 STREET,10010,2124017986,Korean,9/8/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25,,,9/11/21,Cycle Inspection / Initial Inspection,40.74120729,-73.99088443,105,3,5800,1015531,1008230029,MN13
41676393,JOHNNY'S PIZZA RESTAURANT,Bronx,535,EAST  180 STREET,10457,7183656565,Pizza,9/8/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.85059448,-73.89382669,206,15,37504,2011850,2030620001,BX17
50038267,XIN LI,Brooklyn,801,59 STREET,11220,7188518086,Chinese,9/8/21,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,25,,,9/11/21,Cycle Inspection / Initial Inspection,40.63587665,-74.00861473,312,38,10400,3140496,3057000001,BK34
41062874,DALLAS BBQ,Brooklyn,180,LIVINGSTON STREET,11201,7186435700,Barbecue,9/8/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,40,,,9/11/21,Cycle Inspection / Initial Inspection,40.69004441,-73.9868384,302,33,3700,3000484,3001647501,BK38
50098235,DOUBLE TWISTER ICE CREAM AND COFFEE SHOP,Manhattan,1443,YORK AVENUE,10075,2039122204,Frozen Desserts,9/8/21,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,39,N,,9/11/21,Cycle Inspection / Initial Inspection,40.76980882,-73.95159732,108,5,13200,1045961,1014710026,MN31
50093954,Jasper Kane Cafe,Brooklyn,6,METROTECH CTR,11201,6469973786,American,9/8/21,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.69402437,-73.98720543,302,33,1100,3000265,3001420001,BK38
40399581,PIO PIO,Queens,6230,WOODHAVEN BOULEVARD,11374,7184580606,Latin American,9/8/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,96,,,9/11/21,Cycle Inspection / Initial Inspection,40.7259583,-73.87011305,405,29,67900,4068650,4029740137,QN21
41301737,ARMANDO'S PIZZA,Brooklyn,1413,ROCKAWAY PARKWAY,11236,7182579723,Pizza,9/8/21,Violations were cited in the following area(s).,20F,Current letter grade sign not posted.,Not Critical,,,,9/11/21,Administrative Miscellaneous / Initial Inspection,40.64551103,-73.90272704,318,42,97400,3229402,3081660016,BK50
50046427,2 BROS PIZZA,Manhattan,755,6 AVENUE,10010,2122391117,Pizza,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,9/11/21,Cycle Inspection / Initial Inspection,40.744276,-73.99181149,104,3,9100,1015011,1008010036,MN13
50013086,POLLO D' ORO,Brooklyn,306,GOLD STREET,11201,7188558088,Spanish,9/8/21,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,60,,,9/11/21,Cycle Inspection / Initial Inspection,40.69497081,-73.9832709,302,35,1500,3392968,3001337501,BK38
41397322,GOLDEN DRAGON RESTAURANT,Brooklyn,394,METROPOLITAN AVENUE,11211,7187828024,Chinese,9/8/21,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,17,,,9/11/21,Cycle Inspection / Initial Inspection,40.7140586,-73.95506843,301,34,51900,3062508,3023690017,BK73
50050671,MCDONALD'S,Bronx,279,EAST  149 STREET,10451,7182928812,Hamburgers,9/8/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.81715584,-73.92185081,201,17,6500,2088137,2023310074,BX34
50050671,MCDONALD'S,Bronx,279,EAST  149 STREET,10451,7182928812,Hamburgers,9/8/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.81715584,-73.92185081,201,17,6500,2088137,2023310074,BX34
50107295,NEPTUNE DINER,Queens,35-01,BELL BOULEVARD,11361,3472455794,American,9/8/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,23,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.76882736,-73.77367989,411,19,112300,4136508,4061730001,QN46
50091820,NYC FALAFEL CO,Manhattan,201,ALLEN STREET,10002,6469186877,Indian,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.72252349,-73.98881979,103,1,3601,1005543,1004170019,MN27
50105185,SALENTO COLOMBIAN CAFE & RESTAURANT,Manhattan,2112,AMSTERDAM AVENUE,10032,6467670680,Spanish,9/8/21,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,41,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.83764998,-73.93854117,112,7,24301,1062895,1021210035,MN36
41672278,GOLDEN STAR,Brooklyn,3719,CHURCH AVENUE,11203,7182825757,Chinese,9/8/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.6511263,-73.94256613,317,41,81600,3108817,3048740032,BK91
50017706,LITTLE CUPCAKE BAKESHOP,Brooklyn,598,VANDERBILT AVENUE,11238,7187830770,Coffee/Tea,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,,,9/11/21,Cycle Inspection / Initial Inspection,40.67840851,-73.96860156,308,35,16300,3028426,3011510044,BK64
50038267,XIN LI,Brooklyn,801,59 STREET,11220,7188518086,Chinese,9/8/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,25,,,9/11/21,Cycle Inspection / Initial Inspection,40.63587665,-74.00861473,312,38,10400,3140496,3057000001,BK34
50091820,NYC FALAFEL CO,Manhattan,201,ALLEN STREET,10002,6469186877,Indian,9/8/21,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.72252349,-73.98881979,103,1,3601,1005543,1004170019,MN27
50098235,DOUBLE TWISTER ICE CREAM AND COFFEE SHOP,Manhattan,1443,YORK AVENUE,10075,2039122204,Frozen Desserts,9/8/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,39,N,,9/11/21,Cycle Inspection / Initial Inspection,40.76980882,-73.95159732,108,5,13200,1045961,1014710026,MN31
50002097,PANINO RUSTICO,Brooklyn,8222,17 AVENUE,11214,7182366343,Italian,9/8/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.61070453,-74.002676,311,43,18200,3164236,3063060048,BK28
41272136,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Brooklyn,872,UTICA AVENUE,11203,7182825027,Caribbean,9/8/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.65211045,-73.93043468,317,41,86800,3102091,3046750037,BK96
50110043,REEF KITCHEN,Manhattan,69,CLINTON STREET,10002,5713558303,Other,9/8/21,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,15,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.71933363,-73.98494947,103,1,3001,1004232,1003490029,MN27
41693397,SUBWAY,Queens,40-24,COLLEGE POINT BOULEVARD,11354,7184604700,Sandwiches,9/8/21,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,10,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.75768809,-73.83412821,407,20,87100,4000000,4050667502,QN22
41280104,NO 1 LUCK SUNG RESTAURANT,Bronx,694,EAST  187 STREET,10458,7189334420,Chinese,9/8/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,,,9/11/21,Cycle Inspection / Initial Inspection,40.85416743,-73.88456333,206,15,39100,2012520,2030890035,BX06
50101991,GREAT WALL,Bronx,594,GRAND CONCOURSE,10451,7189935420,Chinese,9/8/21,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,39,,,9/11/21,Cycle Inspection / Initial Inspection,40.8197062,-73.92675784,204,17,6100,2002446,2024430040,BX14
50110044,BABA COOL,Brooklyn,47,WITHERS STREET,11211,9144840914,American,9/8/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,24,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.71679613,-73.95080988,301,33,51500,3259677,3027360038,BK73
50055023,BOGATY,Brooklyn,9522,AVENUE L,11236,7182850700,Bagels/Pretzels,9/8/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,9/11/21,Cycle Inspection / Initial Inspection,40.63781752,-73.89659143,318,46,101000,3232742,3082600042,BK50
50091820,NYC FALAFEL CO,Manhattan,201,ALLEN STREET,10002,6469186877,Indian,9/8/21,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.72252349,-73.98881979,103,1,3601,1005543,1004170019,MN27
41630124,DUNKIN',Queens,4008,BELL BOULEVARD,11361,7182247013,Coffee/Tea,9/8/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.76411803,-73.77126284,411,19,112300,4137560,4062370031,QN46
41210181,JAMAO COFFEE SHOP RESTAURANT,Queens,177-16,LIBERTY AVENUE,11433,7185269246,Latin American,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,,9/11/21,Cycle Inspection / Initial Inspection,40.70541779,-73.78227812,412,27,44000,4220103,4103300115,QN01
41210181,JAMAO COFFEE SHOP RESTAURANT,Queens,177-16,LIBERTY AVENUE,11433,7185269246,Latin American,9/8/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,,,9/11/21,Cycle Inspection / Initial Inspection,40.70541779,-73.78227812,412,27,44000,4220103,4103300115,QN01
41693397,SUBWAY,Queens,40-24,COLLEGE POINT BOULEVARD,11354,7184604700,Sandwiches,9/8/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.75768809,-73.83412821,407,20,87100,4000000,4050667502,QN22
50080343,GINO'S PASTRY SHOP & CAFE,Bronx,580,EAST  187 STREET,10458,7185843558,Bakery Products/Desserts,9/8/21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,,9/11/21,Cycle Inspection / Initial Inspection,40.85580676,-73.88806697,206,15,39100,2011894,2030650040,BX06
50065189,NORTH COAST SHARK AND BAKE,Brooklyn,873,SCHENECTADY AVENUE,11203,3472953930,Caribbean,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,9/11/21,Cycle Inspection / Initial Inspection,40.6519365,-73.93332155,317,41,87000,3102021,3046730044,BK91
50049940,HYLAN DINER,Staten Island,2561,HYLAN BOULEVARD,10306,7186689200,American,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,,9/11/21,Cycle Inspection / Initial Inspection,40.56911372,-74.11113403,502,50,13400,5104318,5042260044,SI45
50090686,LA GATA GOLOSA,Queens,3018,BROADWAY,11106,7188061493,Spanish,9/8/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,9/11/21,Cycle Inspection / Initial Inspection,40.76223059,-73.92596575,401,22,5900,4430913,4005870034,QN70
50087778,99C PIZZA,Manhattan,177,EAST HOUSTON STREET,10002,6466373776,Pizza,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,,9/11/21,Cycle Inspection / Initial Inspection,40.72278693,-73.98820644,103,1,3001,1077625,1004170053,MN27
50083953,LA ISLA CAFE,Manhattan,212,DELANCEY STREET,10002,2125984752,Spanish,9/8/21,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.71696467,-73.98334472,103,1,1200,1089345,1003430070,MN28
50105185,SALENTO COLOMBIAN CAFE & RESTAURANT,Manhattan,2112,AMSTERDAM AVENUE,10032,6467670680,Spanish,9/8/21,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,41,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.83764998,-73.93854117,112,7,24301,1062895,1021210035,MN36
50105849,JUICY KING CRAB EXPRESS,Brooklyn,1126,BROADWAY,11221,7184847568,Cajun,9/8/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.69363827,-73.92935262,303,36,28900,3043307,3016040026,BK35
50017706,LITTLE CUPCAKE BAKESHOP,Brooklyn,598,VANDERBILT AVENUE,11238,7187830770,Coffee/Tea,9/8/21,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,32,,,9/11/21,Cycle Inspection / Initial Inspection,40.67840851,-73.96860156,308,35,16300,3028426,3011510044,BK64
40814300,CARVEL,Bronx,560,MORRIS AVENUE,10451,7184022300,Frozen Desserts,9/8/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,,,9/11/21,Cycle Inspection / Initial Inspection,40.8178809,-73.92251834,201,17,6500,2000918,2023310006,BX34
50087225,CHUBBY BURGERS & CHICKEN,Queens,3005,36TH AVE,11106,7183924071,Chicken,9/8/21,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,9/8/21,9/11/21,Cycle Inspection / Initial Inspection,40.75689207,-73.93040424,401,26,5300,4007967,4006030001,QN70
50056201,TOSOCCHON,Queens,4530,BELL BLVD,11361,7182290777,Korean,9/8/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,50,,,9/11/21,Cycle Inspection / Initial Inspection,40.7593977,-73.768857,411,19,144700,4156901,4073140027,QN46
50101991,GREAT WALL,Bronx,594,GRAND CONCOURSE,10451,7189935420,Chinese,9/8/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,39,,,9/11/21,Cycle Inspection / Initial Inspection,40.8197062,-73.92675784,204,17,6100,2002446,2024430040,BX14
