CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50011814,HARLEM FOOD CT,Manhattan,66,WEST  116 STREET,10026,2127227300,American,9/7/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,34,Z,9/7/21,9/11/21,Cycle Inspection / Re-inspection,40.80166323,-73.94886508,110,9,19000,1051423,1015990068,MN11
41115762,SPRING GARDENS RESTAURANT,Queens,135-29,SPRINGFIELD BOULEVARD,11413,7183414480,Caribbean,9/7/21,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,9/7/21,9/11/21,Cycle Inspection / Initial Inspection,40.678512,-73.75440355,413,31,35800,4279989,4130140012,QN66
50110495,Dao Hua Xiang Snack,Brooklyn,772,57 STREET,11220,9173617189,Other,9/7/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.63743297,-74.00820778,307,38,10400,3015880,3008500037,BK34
50075774,EL CAMPEON DE LOS POLLOS 2,Queens,10309,101ST AVE,11416,7184801552,Latin American,9/7/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,36,,,9/11/21,Cycle Inspection / Initial Inspection,40.68604381,-73.83974812,409,28,11600,4197732,4094050034,QN54
50088048,TRIPLE DEUCE,Bronx,3601,BOSTON ROAD,10466,3478998046,Caribbean,9/7/21,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,22,,,9/11/21,Cycle Inspection / Initial Inspection,40.87915859,-73.84317192,212,12,46000,2065574,2048880002,BX03
50058613,BURGER KING,Bronx,3440,JEROME AVENUE,10467,7182271100,Hamburgers,9/7/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,9/7/21,9/11/21,Cycle Inspection / Initial Inspection,40.88160988,-73.88248672,207,11,42100,2017770,2033270089,BX43
50058613,BURGER KING,Bronx,3440,JEROME AVENUE,10467,7182271100,Hamburgers,9/7/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,9/7/21,9/11/21,Cycle Inspection / Initial Inspection,40.88160988,-73.88248672,207,11,42100,2017770,2033270089,BX43
50058613,BURGER KING,Bronx,3440,JEROME AVENUE,10467,7182271100,Hamburgers,9/7/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,9/7/21,9/11/21,Cycle Inspection / Initial Inspection,40.88160988,-73.88248672,207,11,42100,2017770,2033270089,BX43
41195733,230 FIFTH,Manhattan,230,FIFTH AVENUE,10001,2127254300,American,9/7/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,9/11/21,Cycle Inspection / Initial Inspection,40.7439106,-73.98786706,105,2,5800,1015654,1008280041,MN13
41549281,DUNKIN,Manhattan,316,WEST   34 STREET,10001,2127602600,Donuts,9/7/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,17,,,9/11/21,Cycle Inspection / Initial Inspection,40.75249396,-73.99422149,104,3,10300,1013552,1007570022,MN13
