CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50101726,DAVIDS PIZZERIA AND RESTAURANT,Brooklyn,418,DITMAS AVENUE,11218,3477926150,Pizza,9/9/21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,54,N,,9/11/21,Cycle Inspection / Initial Inspection,40.63589341,-73.97477553,312,39,48400,3127140,3053980006,BK41
41533145,SAL'S PIZZERIA,Brooklyn,119,WYCKOFF AVENUE,11237,7183865299,Pizza,9/9/21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,19,,,9/11/21,Cycle Inspection / Initial Inspection,40.70437744,-73.91933261,304,37,44500,3073662,3032380001,BK77
40886613,D'ANGELO'S PIZZERIA AND RESTAURANT,Queens,63-27,108 STREET,11375,7184596074,Pizza,9/9/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,9/11/21,Cycle Inspection / Initial Inspection,40.7341876,-73.85024036,406,29,74300,4051565,4021680001,QN17
41548181,YEDON,Queens,20911,NORTHERN BOULEVARD,11361,7182243080,Korean,9/9/21,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8,A,9/9/21,9/11/21,Cycle Inspection / Initial Inspection,40.75907332,-73.77411744,411,19,146700,4138178,4062790021,QN46
50073518,PHIL'S,Brooklyn,695,KNICKERBOCKER AVENUE,11221,3476274585,American,9/9/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,9/9/21,9/11/21,Cycle Inspection / Initial Inspection,40.69451464,-73.91079798,304,37,43500,3077673,3033850006,BK77
50037534,DIDI DUMPLING,Manhattan,38,LEXINGTON AVENUE,10010,2124666618,Chinese,9/9/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,9/9/21,9/11/21,Cycle Inspection / Initial Inspection,40.7400675,-73.98433852,105,2,6800,1018058,1008790063,MN21
40664744,STARBUCKS,Manhattan,424,PARK AVENUE SOUTH,10016,2127250637,Coffee/Tea,9/9/21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,9/9/21,9/11/21,Cycle Inspection / Initial Inspection,40.74403358,-73.9835689,105,2,7400,1016934,1008590039,MN17
41337205,SUBWAY,Manhattan,37,7 AVENUE,10011,2126912929,Sandwiches,9/9/21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,44,,,9/11/21,Cycle Inspection / Initial Inspection,40.73771082,-74.00028146,102,3,7100,1010598,1006080009,MN23
50037168,MISTER PIZZA,Bronx,155,EAST  149 STREET,10451,6463712210,Pizza,9/9/21,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,37,,,9/11/21,Cycle Inspection / Initial Inspection,40.81866379,-73.92770557,204,8,6300,2001059,2023470033,BX63
50083790,METRO EATS,Brooklyn,292,ATLANTIC AVENUE,11201,3477254106,Sandwiches,9/9/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30,,,9/11/21,Cycle Inspection / Initial Inspection,40.68847461,-73.98884716,302,33,4300,3335912,3001820001,BK38
50015252,BANGLA GARDEN RESTAURANT,Bronx,1864,WESTCHESTER AVENUE,10472,9178222207,Bangladeshi,9/9/21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,36,,,9/11/21,Cycle Inspection / Initial Inspection,40.83275169,-73.86337022,209,18,7200,2024869,2037670051,BX55
50006098,SCALINO G.P.,Brooklyn,659,MANHATTAN AVENUE,11222,7183898600,Italian,9/9/21,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,9/9/21,9/11/21,Cycle Inspection / Initial Inspection,40.72459147,-73.95127312,301,33,56900,3066068,3026450122,BK76
41271730,AMC THEATRES,Manhattan,570,2 AVENUE,10016,2124470638,American,9/9/21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,,,9/11/21,Cycle Inspection / Initial Inspection,40.74305532,-73.97704443,106,2,7000,1087237,1009360001,MN20
50111306,SHANGHAI YOU GARDEN,Queens,4107,BELL BLVD,11361,7182293388,Chinese,9/9/21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,N,,9/11/21,Pre-permit (Operational) / Initial Inspection,40.76339261,-73.77085742,411,19,112300,4138307,4062900013,QN46
